"Sign","Sign1","Name","Values","Values1","MesZL","ABZ/Labat","Codepoint","Values2","Values3","Path","MesZL_nu"
"𒋠","𒋠","SIG₂","SIG2 (LAḪRUM2, SEG2, SIK2, SIKI, ŠEK2, ŠEQ2, ŠIG2, ŠIK2, ŠIQ2, U15, UA3)","SIG<sub>2</sub> (<font color=""#c5000b"">LAḪRUM<sub>2</sub></font> <font color=""#878787"">(Labat; MesZL: LAḪRUM<sub>2</sub> = DARA<sub>4</sub> (no. 817))</font>, SEG<sub>2</sub>, SIK<sub>2</sub>, SIKI, ŠEK<sub>2</sub>, ŠEQ<sub>2</sub>, ŠIG<sub>2</sub>, ŠIK<sub>2</sub>, ŠIQ<sub>2</sub>, <font color=""#c5000b"">U<sub>15</sub></font> <font color=""#878787"">(Labat; MesZL: U<sub>15</sub> missing)</font>, <font color=""#c5000b"">UA<sub>3</sub></font> <font color=""#878787"">(Labat; MesZL: UA<sub>3</sub> missing)</font>)","816","539","U+122E0 (SIK2)","SIG2 (LAḪRUM2 (Labat; MesZL: LAḪRUM2 = DARA4 (no. 817)), SEG2, SIK2, SIKI, ŠEK2, ŠEQ2, ŠIG2, ŠIK2, ŠIQ2, U15 (Labat; MesZL: U15 missing), UA3 (Labat; MesZL: UA3 missing))","SIG2 (LAHRUM2, SEG2, SIK2, SIKI, SHEK2, SHEQ2, SHIG2, SHIK2, SHIQ2, U15, UA3)","539-SIK2",816
"𒋠𒀸","𒋠𒀸","SIG₂.AŠ","SIG2.AŠ (MUDRU4, MUDRUM4)","SIG<sub>2</sub>.AŠ (MUDRU<sub>4</sub>, MUDRUM<sub>4</sub>)","816+001","539+001","U+122E0 & U+12038 (SIK2 & ASH)","SIG2.AŠ (MUDRU4, MUDRUM4)","SIG2.ASH (MUDRU4, MUDRUM4)","–",816
"𒋠𒁍","𒋠𒁍","SIG₂.BU","SIG2.BU (MUDRA5, MUDRU5, SULUḪU2, ZULUḪU2, ZULUMḪI2)","SIG<sub>2</sub>.BU (MUDRA<sub>5</sub> <font color=""#878787"">(MesZL: ?)</font>, MUDRU<sub>5</sub> <font color=""#878787"">(MesZL: Deimel vague)</font> SULUḪU<sub>2</sub>, ZULUḪU<sub>2</sub>, ZULUMḪI<sub>2</sub>)","816+580","539+371","U+122E0 & U+1204D (SIK2 & BU)","SIG2.BU (MUDRA5 (MesZL: ?), MUDRU5 (MesZL: Deimel vague), SULUḪU2, ZULUḪU2, ZULUMḪI2)","SIG2.BU (MUDRA5, MUDRU5, SULUHU2, ZULUHU2, ZULUMHI2)","–",816
"𒋠𒇴𒄴𒈨𒌋","𒋠𒇴𒄴𒈨𒌋","SIG₂.LAM.AḪ.ME.U","SIG2.LAM.AḪ.ME.U","SIG<sub>2</sub>.LAM.AḪ.ME.U","822","539+435+398+532+411","U+122E0 & U+121F4 & U+12134 & U+12228 & U+1230B (SIK2 & LAM & HI TIMES NUN & ME & U)","SIG2.LAM.AḪ.ME.U","SIG2.LAM.AH.ME.U","–",822
"𒋠𒈬𒁍","𒋠𒈬𒁍","SIG₂.MU.BU","SIG2.MU.BU (SAGMUNZER, SAGMUNZIR)","SIG<sub>2</sub>.MU.BU (SAGMUNZER, SAGMUNZIR)","816+098+580","539+061+371","U+122E0 & U+1222C & U+1204D (SIK2 & MU & BU)","SIG2.MU.BU (SAGMUNZER, SAGMUNZIR)","SIG2.MU.BU (SAGMUNZER, SAGMUNZIR)","–",816
"𒋠𒋤","𒋠𒋤","SIG₂.SUD","SIG2.SUD (SULUḪU, ZULUḪU, ZULUMḪI)","SIG<sub>2</sub>.SUD (SULUḪU, ZULUḪU, ZULUMḪI <font color=""#878787"">(MesZL: Deimel ambiguous)</font>)","816+584","539+373","U+122E0 & U+122E4 (SIK2 & SUD)","SIG2.SUD (SULUḪU, ZULUḪU, ZULUMḪI (MesZL: Deimel ambiguous))","SIG2.SUD (SULUHU, ZULUHU, ZULUMHI)","–",816
"𒋠𒉺𒅁","𒋠𒉺𒅁","SIG₂.ŠAB","SIG2.ŠAB (ḪAMANZER, ḪAMANZIR, ḪUMUZER, ḪUMUZIR)","SIG<sub>2</sub>.ŠAB (ḪAMANZER, ḪAMANZIR, ḪUMUZER, ḪUMUZIR)","816+466","539+295k","U+122E0 & U+1227A & U+12141 (SIK2 & PA & IB)","SIG2.ŠAB (ḪAMANZER, ḪAMANZIR, ḪUMUZER, ḪUMUZIR)","SIG2.SHAB (HAMANZER, HAMANZIR, HUMUZER, HUMUZIR)","–",816
"𒋞","𒋞","SIG₄","SIG4 (BAR5, GAR8, KULLA, MAR4, MUR7, SEG4, SIGA4, ŠE27, ŠED16, ŠEG12, ŠIG6, ŠIK6)","SIG<sub>4</sub> (BAR<sub>5</sub> <font color=""#878787"">(MesZL: needless)</font>, GAR<sub>8</sub> <font color=""#878787"">(MesZL: and no. 495)</font>, KULLA, <font color=""#c5000b"">MAR<sub>4</sub></font> <font color=""#878787"">(Labat; MesZL: MAR<sub>4</sub> missing)</font>, MUR<sub>7</sub> <font color=""#878787"">(MesZL: see also 906)</font>, SEG<sub>4</sub>, SIGA<sub>4</sub>, ŠE<sub>27</sub>, ŠED<sub>16</sub>, ŠEG<sub>12</sub>, ŠIG<sub>6</sub>, ŠIK<sub>6</sub>)","905","567","U+122DE (SIG4)","SIG4 (BAR5 (MesZL: needless), GAR8 (MesZL: and no. 495), KULLA, MAR4 (Labat; MesZL: MAR4 missing), MUR7 (MesZL: see also 906), SEG4, SIGA4, ŠE27, ŠED16, ŠEG12, ŠIG6, ŠIK6)","SIG4 (BAR5, GAR8, KULLA, MAR4, MUR7, SEG4, SIGA4, SHE27, SHED16, SHEG12, SHIG6, SHIK6)","–",905
"𒋟","𒋟","SIG₄ over SIG₄.ŠU₂","SIG4 over SIG4.ŠU2 (GUḪŠU, GUḪŠU2, LAḪḪUŠU, ŠIKAḪARA)","SIG<sub>4</sub> over SIG<sub>4</sub>.ŠU<sub>2</sub> (GUḪŠU, <font color=""#c5000b"">GUḪŠU<sub>2</sub></font> <font color=""#878787"">(Labat; MesZL: GUḪŠU<sub>2</sub> = LUM over LUM.ŠU<sub>2</sub> (no. 903))</font>, LAḪḪUŠU, ŠIKAḪARA)","907","566","U+122DF (SIG4 OVER SIG4 SHU2)","SIG4 over SIG4.ŠU2 (GUḪŠU, GUḪŠU2 (Labat; MesZL: GUḪŠU2 = LUM over LUM.ŠU2 (no. 903)), LAḪḪUŠU, ŠIKAḪARA)","SIG4 over SIG4.SHU2 (GUHSHU, GUHSHU2, LAHHUSHU, SHIKAHARA)","–",907
"𒋞𒁁","𒋞𒁁","SIG₄.BAD","SIG4.BAD (BANDA5, URU9)","SIG<sub>4</sub>.BAD (BANDA<sub>5</sub>, URU<sub>9</sub>)","905+113","567+069","U+122DE & U+12041 (SIG4 & BAD)","SIG4.BAD (BANDA5, URU9)","SIG4.BAD (BANDA5, URU9)","–",905
"𒅆𒂟","𒅆𒂟","SIG₅","SIG5 (IGI.ERIM; SA13, SAG10, SEG5, ŠA15)","SIG<sub>5</sub> (IGI.ERIM; SA<sub>13</sub> <font color=""#878787"">(MesZL: Deimel differently)</font>, SAG<sub>10</sub>, SEG<sub>5</sub>, ŠA<sub>15</sub> <font color=""#878787"">(MesZL: opened, Deimel differently)</font>)","729","454","U+12146 & U+1209F (IGI & ERIN2)","SIG5 (IGI.ERIM; SA13 (MesZL: Deimel differently), SAG10, SEG5, ŠA15 (MesZL: opened, Deimel differently))","SIG5 (IGI.ERIM; SA13, SAG10, SEG5, SHA15)","454-SIG5",729
"𒅊","𒅊","SIG₇","SIG7 (IGI gunû; 10000, AGAR4, DAR5, IGI2, IMMA3, NAB4, NAM4, SA7, SAMAG, SAMAG5, SAMAG6, SE12, SEG7, SI12, SIMIG6, SUMUG6, ŠAMAG, ŠAMAG5, ŠI7, UGUR2, UKUR5)","SIG<sub>7</sub> (IGI <i>gunû</i>; 10000, AGAR<sub>4</sub>, <font color=""#c5000b"">DAR<sub>5</sub></font> <font color=""#878787"">(Labat; MesZL: DAR<sub>5</sub> missing)</font>, IGI<sub>2</sub>, IMMA<sub>3</sub>, NAB<sub>4</sub>, NAM<sub>4</sub>, SA<sub>7</sub>, <font color=""#c5000b"">SAMAG</font> <font color=""#878787"">(Labat: SAMAG = SIG<sub>7</sub> (no. 564) on the p. 270, but SAMAG = DUB × LAGAB (no. 245) on the p. 267; MesZL: SAMAG = DUB (no. 242); KŠ: perhaps mistake?)</font>, <font color=""#c5000b"">SAMAG<sub>5</sub></font> <font color=""#878787"">(Labat: SIG<sub>7</sub> = SAMAG<sub>5</sub> on the p. 267, but SIG<sub>7</sub> = SAMAG on the p. 270; MesZL: SAMAG<sub>6</sub>, SAMAG<sub>5</sub> = DUB × LAGAB (no. 245))</font>, SAMAG<sub>6</sub> <font color=""#878787"">(MesZL: Deimel and Labat SAMAG<sub>5</sub> and ŠAMAG<sub>5</sub>)</font>, SE<sub>12</sub>, SEG<sub>7</sub>, SI<sub>12</sub>, SIMIG<sub>6</sub> <font color=""#878787"">(MesZL: as SAMAG<sub>6</sub>)</font>, SUMUG<sub>6</sub> <font color=""#878787"">(MesZL: as SAMAG<sub>6</sub>)</font>, <font color=""#c5000b"">ŠAMAG</font> <font color=""#878787"">(Labat: SIG<sub>7</sub> = ŠAMAG on the p. 270, but SIG<sub>7</sub> = ŠAMAG<sub>5</sub> on the p. 267; MesZL: ŠAMAG missing; KŠ: perhaps mistake?)</font>, <font color=""#c5000b"">ŠAMAG<sub>5</sub></font> <font color=""#878787"">(Labat: SIG<sub>7</sub> = ŠAMAG<sub>5</sub> on the p. 267, but SIG<sub>7</sub> = ŠAMAG on the p. 270; MesZL: SAMAG<sub>6</sub>, ŠAMAG<sub>5</sub> missing)</font>, ŠI<sub>7</sub> <font color=""#878787"">(MesZL: Labat differently; KŠ: Labat also ŠI<sub>7</sub> = SIG<sub>7</sub>)</font>, UGUR<sub>2</sub>, UKUR<sub>5</sub>)","564","351","U+1214A (IGI GUNU)","SIG7 (IGI gunû; 10000, AGAR4, DAR5 (Labat; MesZL: DAR5 missing), IGI2, IMMA3, NAB4, NAM4, SA7, SAMAG (Labat: SAMAG = SIG7 (no. 564) on the p. 270, but SAMAG = DUB × LAGAB (no. 245) on the p. 267; MesZL: SAMAG = DUB (no. 242); KŠ: perhaps mistake?), SAMAG5 (Labat: SIG7 = SAMAG5 on the p. 267, but SIG7 = SAMAG on the p. 270; MesZL: SAMAG6, SAMAG5 = DUB × LAGAB (no. 245)), SAMAG6 (MesZL: Deimel and Labat SAMAG5 and ŠAMAG5), SE12, SEG7, SI12, SIMIG6 (MesZL: as SAMAG6), SUMUG6 (MesZL: as SAMAG6), ŠAMAG (Labat: SIG7 = ŠAMAG on the p. 270, but SIG7 = ŠAMAG5 on the p. 267; MesZL: ŠAMAG missing; KŠ: perhaps mistake?), ŠAMAG5 (Labat: SIG7 = ŠAMAG5 on the p. 267, but SIG7 = ŠAMAG on the p. 270; MesZL: SAMAG6, ŠAMAG5 missing), ŠI7 (MesZL: Labat differently; KŠ: Labat also ŠI7 = SIG7), UGUR2, UKUR5)","SIG7 (IGI gunû; 10000, AGAR4, DAR5, IGI2, IMMA3, NAB4, NAM4, SA7, SAMAG, SAMAG5, SAMAG6, SE12, SEG7, SI12, SIMIG6, SUMUG6, SHAMAG, SHAMAG5, SHI7, UGUR2, UKUR5)","351-IGI_gunu",564
"𒅊𒀩","𒅊𒀩","SIG₇.ALAM","SIG7.ALAM (UKDIN, UKTIN, ULUDIM2, ULUDIN2, ULUTIM2, ULUTIN2)","SIG<sub>7</sub>.ALAM (UKDIN, UKTIN, ULUDIM<sub>2</sub>, ULUDIN<sub>2</sub>, ULUTIM<sub>2</sub>, ULUTIN<sub>2</sub>)","564+573","351+358","U+1214A & U+12029 (IGI GUNU & ALAN)","SIG7.ALAM (UKDIN, UKTIN, ULUDIM2, ULUDIN2, ULUTIM2, ULUTIN2)","SIG7.ALAM (UKDIN, UKTIN, ULUDIM2, ULUDIN2, ULUTIM2, ULUTIN2)","–",564
"𒅊𒋺𒀩","𒅊𒋺𒀩","SIG₇.KID₂.ALAM","SIG7.KID2.ALAM (SERMUŠKU, SERMUŠŠU, SIRMUŠKU, SIRMUŠŠU, ZERMUŠKU, ZERMUŠŠU, ZIRMUŠKU, ZIRMUŠŠU)","SIG<sub>7</sub>.KID<sub>2</sub>.ALAM (SERMUŠKU, SERMUŠŠU, SIRMUŠKU, SIRMUŠŠU, ZERMUŠKU, ZERMUŠŠU, ZIRMUŠKU, ZIRMUŠŠU)","564+106+573","351+063+358","U+1214A & U+122FA & U+12029 (IGI GUNU & TAK4 & ALAN)","SIG7.KID2.ALAM (SERMUŠKU, SERMUŠŠU, SIRMUŠKU, SIRMUŠŠU, ZERMUŠKU, ZERMUŠŠU, ZIRMUŠKU, ZIRMUŠŠU)","SIG7.KID2.ALAM (SERMUSHKU, SERMUSHSHU, SIRMUSHKU, SIRMUSHSHU, ZERMUSHKU, ZERMUSHSHU, ZIRMUSHKU, ZIRMUSHSHU)","–",564
"𒃰𒋺𒄑","𒃰𒋺𒄑","SIG₈","SIG8 (GAD.KID2.GIŠ; GIM8, SEG8, URUAKA, URUIŠDUA, URULLA)","SIG<sub>8</sub> (GAD.KID<sub>2</sub>.GIŠ; GIM<sub>8</sub> <font color=""#878787"">(MesZL: ?)</font>, SEG<sub>8</sub>, URUAKA, URUIŠDUA, URULLA)","161","092c","U+120F0 & U+122FA & U+12111 (GAD & TAK4 & GISH)","SIG8 (GAD.KID2.GIŠ; GIM8 (MesZL: ?), SEG8, URUAKA, URUIŠDUA, URULLA)","SIG8 (GAD.KID2.GISH; GIM8, SEG8, URUAKA, URUISHDUA, URULLA)","–",161
"𒂣","𒂣","SIL₇","SIL7 (EZEN × A.LAL; ASIL5, ASILA5, ASILAL5)","SIL<sub>7</sub> (EZEN × A.LAL; ASIL<sub>5</sub>, ASILA<sub>5</sub>, ASILAL<sub>5</sub>)","289","159","U+120A3 (EZEN TIMES A PLUS LAL)","SIL7 (EZEN × A.LAL; ASIL5, ASILA5, ASILAL5)","SIL7 (EZEN × A.LAL; ASIL5, ASILA5, ASILAL5)","159-SIL7",289
"𒋡","𒋡","SILA₃","SILA3 (GA5, KA4, QA, SAL4, SIL3, ŠAL2, ŠIL2, ŠITA6)","SILA<sub>3</sub> (GA<sub>5</sub>, KA<sub>4</sub>, QA, SAL<sub>4</sub>, SIL<sub>3</sub>, ŠAL<sub>2</sub>, <font color=""#c5000b"">ŠIL<sub>2</sub></font> <font color=""#878787"">(Labat; MesZL: ŠIL<sub>2</sub> missing)</font>, <font color=""#c5000b"">ŠITA<sub>6</sub></font> <font color=""#878787"">(Labat; MesZL: ŠITA<sub>6</sub> missing)</font>)","099","062","U+122E1 (SILA3)","SILA3 (GA5, KA4, QA, SAL4, SIL3, ŠAL2, ŠIL2 (Labat; MesZL: ŠIL2 missing), ŠITA6 (Labat; MesZL: ŠITA6 missing))","SILA3 (GA5, KA4, QA, SAL4, SIL3, SHAL2, SHIL2, SHITA6)","062-SILA3",99
"𒋡𒋗𒂃","𒋡𒋗𒂃","SILA₃.ŠU.DU₈","SILA3.ŠU.DU8 (SAGI)","SILA<sub>3</sub>.ŠU.DU<sub>8</sub> (SAGI)","099+567+298","062+354+167","U+122E1 & U+122D7 & U+12083 (SILA3 & SHU & DUH)","SILA3.ŠU.DU8 (SAGI)","SILA3.SHU.DU8 (SAGI)","–",99
"𒃢","𒃢","SILA₄","SILA4 (GA2 × PA); ERA4, ERI16, GAZI, GAZI2, IŠḪARA, IŠḪARA4, IŠḪUR4, IŠḪURU4)","SILA<sub>4</sub> (GA<sub>2</sub> × PA; ERA<sub>4</sub> <font color=""#878787"">(MesZL: ?, Deimel ERA<sub>2</sub>)</font>, ERI<sub>16</sub> <font color=""#878787"">(MesZL: ?, Deimel ERA<sub>4</sub>)</font>, GAZI <font color=""#878787"">(MesZL: old form GA<sub>2</sub> × AŠ<sub>2</sub> (Labat and ABZ no. 257))</font>, <font color=""#c5000b"">GAZI<sub>2</sub></font> <font color=""#878787"">(Labat: GAZI<sub>2</sub> = GA<sub>2</sub> × PA (no. 252, MesZL no. 408), GAZI = GA<sub>2</sub> × AŠ (no. 257, MesZL no. 408); MesZL: GAZI = GA<sub>2</sub> × PA and GA<sub>2</sub> × AŠ (no. 408), GAZI<sub>2</sub> = GA<sub>2</sub> × SUM (no. 404))</font>, <font color=""#c5000b"">IŠḪARA</font> <font color=""#878787"">(Labat: in syllabary GA<sub>2</sub> × PA = IŠḪARA, but in index GA<sub>2</sub> × PA = IŠḪARA<sub>4</sub>, IŠḪARA = GA<sub>2</sub> × NIG<sub>2</sub> (no. 431); MesZL: IŠḪARA<sub>4</sub>, IŠḪARA = GA<sub>2</sub> × NIG<sub>2</sub> (no. 431); KŠ: perhaps mistake)</font>, IŠḪARA<sub>4</sub>, IŠḪUR<sub>4</sub> <font color=""#878787"">(MesZL: Deimel IŠḪUR)</font>, IŠḪURU<sub>4</sub> <font color=""#878787"">(MesZL: Deimel IŠḪUR)</font>)","408","252 (new form), 257 (sign GA2 × AŠ2, old form of sign GAZI)","U+120E2 (GA2 TIMES PA)","SILA4 (GA2 × PA; ERA4 (MesZL: ?, Deimel ERA2), ERI16 (MesZL: ?, Deimel ERA4), GAZI (MesZL: old form GA2 × AŠ2 (Labat and ABZ no. 257)), GAZI2 (Labat: GAZI2 = GA2 × PA (no. 252, MesZL no. 408), GAZI = GA2 × AŠ (no. 257, MesZL no. 408); MesZL: GAZI = GA2 × PA and GA2 × AŠ (no. 408), GAZI2 = GA2 × SUM (no. 404)), IŠḪARA (Labat: in syllabary GA2 × PA = IŠḪARA, but in index GA2 × PA = IŠḪARA4, IŠḪARA = GA2 × NIG2 (no. 431); MesZL: IŠḪARA4, IŠḪARA = GA2 × NIG2 (no. 431); KŠ: perhaps mistake), IŠḪARA4, IŠḪUR4 (MesZL: Deimel IŠḪUR), IŠḪURU4 (MesZL: Deimel IŠḪUR))","SILA4 (GA2 × PA); ERA4, ERI16, GAZI, GAZI2, ISHHARA, ISHHARA4, ISHHUR4, ISHHURU4)","252-SILA4",408
"𒉺𒇻","𒉺𒇻","SIPA","SIPA (PA.LU; NUSKA2, NUSKU2, NUŠKA2, NUŠKU2, REʾE, REʾI, SAP3, SIB2, SIBA, SIBAD, SIP2, SIPAD, ŠAB5, ŠAP2, ŠAP5)","SIPA (PA.LU; NUSKA<sub>2</sub>, NUSKU<sub>2</sub>, NUŠKA<sub>2</sub>, NUŠKU<sub>2</sub>, REʾE, REʾI <font color=""#878787"">(MesZL: Deimel RIʾU)</font>, SAP<sub>3</sub>, SIB<sub>2</sub>, SIBA, SIBAD, SIP<sub>2</sub>, SIPAD, ŠAB<sub>5</sub>, <font color=""#c5000b"">ŠAP<sub>2</sub></font> <font color=""#878787"">(Labat: in syllabary SIPA = ŠAP<sub>2</sub> as well as ŠAP<sub>2</sub>, in index SIPA = ŠAP<sub>2</sub>; MesZL: SIPA = ŠAP<sub>5</sub>, ŠAP<sub>2</sub> missing)</font>, ŠAP<sub>5</sub> <font color=""#878787"">(MesZL: Deimel and Labat ŠAP<sub>2</sub>)</font>)","468+812","295m (295+537)","U+1227A & U+121FB (PA & LU)","SIPA (PA.LU; NUSKA2, NUSKU2, NUŠKA2, NUŠKU2, RE’E, RE’I (MesZL: Deimel RI’U), SAP3, SIB2, SIBA, SIBAD, SIP2, SIPAD, ŠAB5, ŠAP2 (Labat: in syllabary SIPA = ŠAP2 as well as ŠAP2, in index SIPA = ŠAP2; MesZL: SIPA = ŠAP5, ŠAP2 missing), ŠAP5 (MesZL: Deimel and Labat ŠAP2))","SIPA (PA.LU; NUSKA2, NUSKU2, NUSHKA2, NUSHKU2, REʾE, REʾI, SAP3, SIB2, SIBA, SIBAD, SIP2, SIPAD, SHAB5, SHAP2, SHAP5)","295_537-SIPA",468
"𒀬","𒀬","SISKUR","SISKUR (AMAR × ŠE; DISKUR, DIZKUR, SIZKUR)","SISKUR (AMAR × ŠE; DISKUR, DIZKUR, SIZKUR)","696","438","U+1202C (AMAR TIMES SHE)","SISKUR (AMAR × ŠE; DISKUR, DIZKUR, SIZKUR)","SISKUR (AMAR × SHE; DISKUR, DIZKUR, SIZKUR)","438-SISKUR",696
"𒀬𒀬","𒀬𒀬","SISKUR.SISKUR","SISKUR.SISKUR (AMAR × ŠE.AMAR × ŠE; SISKUR2, SIZKUR2)","SISKUR.SISKUR (SISKUR<sub>2</sub>, SIZKUR<sub>2</sub>)","696+696","438+438","U+1202C & U+1202C (AMAR TIMES SHE & AMAR TIMES SHE)","SISKUR.SISKUR (SISKUR2, SIZKUR2)","SISKUR.SISKUR (AMAR × SHE.AMAR × SHE; SISKUR2, SIZKUR2)","–",696
"𒋢","𒋢","SU","SU (1/36, GUŠ, KUS, KUŠ, KUZ, SUG6, SUM3, ŚU, ŠU11)","SU (1/36, GUŠ, KUS, KUŠ, KUZ, SUG<sub>6</sub> <font color=""#878787"">(MesZL: Deimel differently)</font>, SUM<sub>3</sub> <font color=""#878787"">(MesZL: to be erased)</font>, ŚU, ŠU<sub>11</sub>)","016","007","U+122E2 (SU)","SU (1/36, GUŠ, KUS, KUŠ, KUZ, SUG6 (MesZL: Deimel differently), SUM3 (MesZL: to be erased), ŚU, ŠU11)","SU (1/36, GUSH, KUS, KUSH, KUZ, SUG6, SUM3, ŚU, SHU11)","007-SU",16
"𒋣","𒋣","SU over SU","SU over SU (E6)","SU over SU (E<sub>6</sub> <font color=""#878787"">(MesZL: not SU.SU)</font>)","016","007v","U+122E3 (SU OVER SU)","SU over SU (E6 (MesZL: not SU.SU))","SU over SU (E6)","–",16
"𒋢𒀀","𒋢𒀀","SU.A","SU.A (AKTUM2)","SU.A (AKTUM<sub>2</sub>)","016+839","007+579","U+12000 & U+122E2 (SU & A)","SU.A (AKTUM2)","SU.A (AKTUM2)","–",16
"𒋢𒆳𒊒","𒋢𒆳𒊒","SU.KUR.RU","SU.KUR.RU (SUD3, ŠURUPPAK, ŠURIPPAK, ŠURUPAK, ŠURIPAK)","SU.KUR.RU (SUD<sub>3</sub>, ŠURUPPAK, ŠURIPPAK, ŠURUPAK, ŠURIPAK)","016+578+111","007+366+068","U+122E2 & U+121B3 & U+12292 (SU & KUR & RU)","SU.KUR.RU (SUD3, ŠURUPPAK, ŠURIPPAK, ŠURUPAK, ŠURIPAK)","SU.KUR.RU (SUD3, SHURUPPAK, SHURIPPAK, SHURUPAK, SHURIPAK)","–",16
"𒋢𒋢","𒋢𒋢","SU.SU","SU.SU (E6)","SU.SU (<font color=""#c5000b"">E<sub>6</sub></font> <font color=""#878787"">(Labat; MesZL: E<sub>6</sub> = SU over SU (no. 16), not SU.SU)</font>)","016+016","007+007","U+122E2 & U+122E2 (SU & SU)","SU.SU (E6 (Labat; MesZL: E6 = SU over SU (no. 16), not SU.SU))","SU.SU (E6)","–",16
"𒋜","𒋜","SU₄","SU4 (SI gunû; GUNNU, SA11, SI4, ŚI2, ŚU2, ŠI5, ŠU7, USAN4","SU<sub>4</sub> (SI <i>gunû</i>; <font color=""#c5000b"">GUNNU</font> <font color=""#878787"">(Labat; MesZL: GUNNU missing)</font>, SA<sub>11</sub>, SI<sub>4</sub>, ŚI<sub>2</sub>, ŚU<sub>2</sub>, <font color=""#c5000b"">ŠI<sub>5</sub></font> <font color=""#878787"">(Labat; MesZL: ŠI<sub>5</sub> = KU (no. 808))</font>, <font color=""#c5000b"">ŠU<sub>7</sub></font> <font color=""#878787"">(Labat; MesZL: ŠU<sub>7</sub> =? NIG<sub>2</sub> (859))</font>, USAN<sub>4</sub> <font color=""#878787"">(MesZL: or DAR (no. 183))</font>)","182","113","U+122DC (SI GUNU)","SU4 (SI gunû; GUNNU (Labat; MesZL: GUNNU missing), SA11, SI4, ŚI2, ŚU2, ŠI5 (Labat; MesZL: ŠI5 = KU (no. 808)), ŠU7 (Labat; MesZL: ŠU7 =? NIG2 (no. 859)), USAN4 (MesZL: or DAR (no. 183)))","SU4 (SI gunû; GUNNU, SA11, SI4, ŚI2, ŚU2, SHI5, SHU7, USAN4","113-SU4",182
"𒋜𒀀","𒋜𒀀","SU₄.A","SU4.A (SU9)","SU<sub>4</sub>.A (SU<sub>9</sub> <font color=""#878787"">(MesZL: probably erroneous)</font>)","182+839","113+579","U+122DC & U+12000 (SI GUNU & A)","SU4.A (SU9 (MesZL: probably erroneous))","SU4.A (SU9)","–",182
"𒅾","𒅾","SU₆","SU6 (KA × SA, variant of KA × EŠ; MANGAGA, SA17, SUL3, SUM4, SUN4, ZA8)","SU<sub>6</sub> (KA × SA, variant of KA × EŠ; MANGAGA, <font color=""#c5000b"">SA<sub>17</sub></font> <font color=""#878787"">(Labat: ?; MesZL: SA<sub>17</sub> = ŠEG<sub>8</sub> (no. 873))</font>, SUL<sub>3</sub>, SUM<sub>4</sub>, SUN<sub>4</sub> <font color=""#878787"">(MesZL; Labat: in index erroneously no. 8 (the sign is correct), in syllabary correctly)</font>, <font color=""#c5000b"">ZA<sub>8</sub></font> <font color=""#878787"">(Labat: ?; MesZL: ZA<sub>8</sub> missing)</font>)","032","018*","U+1217E (KA TIMES SA)","SU6 (KA × SA, variant of KA × EŠ; MANGAGA, SA17 (Labat: ?; MesZL: SA17 = ŠEG8 (no. 873)), SUL3, SUM4, SUN4 (MesZL; Labat: in index erroneously no. 8 (the sign is correct), in syllabary correctly), ZA8 (Labat: ?; MesZL: ZA8 missing))","SU6 (KA × SA, variant of KA × ESH; MANGAGA, SA17, SUL3, SUM4, SUN4, ZA8)","–",32
"𒇭","𒇭","SU₇","SU7 (LAGAR × ŠE; SUG8, SUL4, SUR12, SURA12)","SU<sub>7</sub> (LAGAR × ŠE <font color=""#878787"">(MesZL: LAGAR × ŠE and LAGAR × ŠE.ŠE)</font>; SUG<sub>8</sub>, SUL<sub>4</sub>, SUR<sub>12</sub>, SURA<sub>12</sub>)","722","460","U+121ED (LAGAR TIMES SHE)","SU7 (LAGAR × ŠE (MesZL: LAGAR × ŠE and LAGAR × ŠE.ŠE); SUG8, SUL4, SUR12, SURA12)","SU7 (LAGAR × SHE; SUG8, SUL4, SUR12, SURA12)","460-SU7",722
